ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1004,1093,>
2,1004,1099,>
3,1004,1077,<
4,1004,1118,<
5,1010,1042,<
6,1010,1064,<
7,1010,1077,<
8,1010,1091,<
9,1026,1025,<
10,1027,1025,<
11,1028,1025,<
12,1041,1042,<
13,1041,1064,<
14,1041,1077,<
15,1042,1010,>
16,1042,1041,>
17,1042,1064,<
18,1042,1077,<
19,1051,1064,<
20,1051,1077,<
21,1056,1067,<
22,1057,1067,<
23,1058,1067,<
24,1064,1077,<
25,1070,1077,<
26,1073,1051,<
27,1073,1091,<
28,1074,1051,<
29,1077,1004,>
30,1077,1010,>
31,1077,1041,>
32,1077,1042,>
33,1077,1051,>
34,1077,1064,>
35,1077,1070,>
36,1087,1092,<
37,1088,1092,<
38,1089,1092,<
39,1091,1010,>
40,1091,1073,>
41,1092,1087,>
42,1092,1088,>
43,1092,1089,>
44,1093,1004,<
45,1096,1098,<
46,1099,1004,<
47,1112,1098,<
48,1112,1118,<
49,1113,1098,<
50,1114,1098,<
51,1115,1098,<
52,1116,1098,<
53,1118,1004,>
54,1118,1112,>
55,2003,2020,<
56,2003,2022,<
57,2003,2025,<
58,2009,2010,>
59,2010,2009,<
60,2011,2022,<
61,2011,2025,<
62,2013,2014,<
63,2014,2013,<
64,2018,2020,<
65,2018,2022,<
66,2020,2003,>
67,2020,2018,>
68,2022,2003,>
69,2022,2011,>
70,2022,2018,>
71,2025,2003,>
72,2025,2011,>
73,2030,2031,>
74,2030,2033,>
75,2031,2030,<
76,2033,2030,<
77,3001,3011,<
78,3001,3118,<
79,3005,3032,>
80,3005,3033,>
81,3005,3034,>
82,3005,3035,>
83,3005,3036,>
84,3005,3039,>
85,3005,3041,>
86,3005,3048,>
87,3005,3052,>
88,3005,3053,>
89,3005,3067,>
90,3005,3068,>
91,3005,3069,>
92,3005,3071,>
93,3005,3078,>
94,3005,3080,>
95,3005,3083,>
96,3005,3088,>
97,3005,3091,>
98,3005,3094,>
99,3005,3101,>
100,3005,3114,>
101,3005,3120,>
102,3005,3122,>
103,3005,3141,>
104,3005,3143,>
105,3005,3011,<
106,3005,3128,<
107,3011,3001,>
108,3011,3005,>
109,3011,3032,>
110,3011,3033,>
111,3011,3034,>
112,3011,3035,>
113,3011,3036,>
114,3011,3039,>
115,3011,3041,>
116,3011,3048,>
117,3011,3052,>
118,3011,3053,>
119,3011,3067,>
120,3011,3068,>
121,3011,3069,>
122,3011,3071,>
123,3011,3078,>
124,3011,3080,>
125,3011,3083,>
126,3011,3088,>
127,3011,3091,>
128,3011,3094,>
129,3011,3101,>
130,3011,3114,>
131,3011,3118,>
132,3011,3120,>
133,3011,3122,>
134,3011,3143,>
135,3011,3128,<
136,3025,3042,>
137,3027,3123,>
138,3032,3005,<
139,3032,3011,<
140,3032,3128,<
141,3033,3005,<
142,3033,3011,<
143,3033,3128,<
144,3034,3005,<
145,3034,3011,<
146,3034,3128,<
147,3035,3005,<
148,3035,3011,<
149,3035,3128,<
150,3036,3005,<
151,3036,3011,<
152,3036,3128,<
153,3039,3005,<
154,3039,3011,<
155,3039,3128,<
156,3041,3005,<
157,3041,3011,<
158,3041,3128,<
159,3042,3025,<
160,3044,3079,>
161,3044,3087,>
162,3044,3090,>
163,3044,3093,>
164,3044,3110,>
165,3044,3125,>
166,3047,3128,<
167,3048,3005,<
168,3048,3011,<
169,3048,3128,<
170,3052,3005,<
171,3052,3011,<
172,3052,3128,<
173,3053,3005,<
174,3053,3011,<
175,3053,3128,<
176,3064,3081,>
177,3064,3076,<
178,3067,3005,<
179,3067,3011,<
180,3067,3128,<
181,3068,3069,>
182,3068,3071,>
183,3068,3005,<
184,3068,3011,<
185,3068,3128,<
186,3069,3005,<
187,3069,3011,<
188,3069,3068,<
189,3069,3128,<
190,3071,3005,<
191,3071,3011,<
192,3071,3068,<
193,3071,3128,<
194,3076,3064,>
195,3076,3077,>
196,3076,3081,>
197,3076,3089,>
198,3076,3092,>
199,3076,3095,>
200,3076,3086,<
201,3077,3081,>
202,3077,3076,<
203,3078,3080,>
204,3078,3005,<
205,3078,3011,<
206,3078,3128,<
207,3079,3044,<
208,3080,3005,<
209,3080,3011,<
210,3080,3078,<
211,3080,3128,<
212,3081,3064,<
213,3081,3076,<
214,3081,3077,<
215,3083,3005,<
216,3083,3011,<
217,3083,3128,<
218,3086,3064,>
219,3086,3076,>
220,3086,3077,>
221,3086,3081,>
222,3086,3089,>
223,3086,3092,>
224,3086,3095,>
225,3086,3099,>
226,3087,3044,<
227,3088,3005,<
228,3088,3011,<
229,3088,3128,<
230,3089,3076,<
231,3090,3044,<
232,3091,3005,<
233,3091,3011,<
234,3091,3128,<
235,3092,3076,<
236,3093,3044,<
237,3094,3005,<
238,3094,3011,<
239,3094,3128,<
240,3095,3076,<
241,3097,3128,<
242,3098,3129,<
243,3099,3086,<
244,3101,3005,<
245,3101,3011,<
246,3101,3128,<
247,3105,3106,>
248,3105,3108,>
249,3106,3105,<
250,3108,3105,<
251,3110,3044,<
252,3111,3112,>
253,3111,3121,>
254,3112,3111,<
255,3114,3005,<
256,3114,3011,<
257,3114,3118,<
258,3114,3128,<
259,3116,3117,>
260,3117,3116,<
261,3118,3001,>
262,3118,3114,>
263,3118,3011,<
264,3120,3005,<
265,3120,3011,<
266,3120,3128,<
267,3121,3111,<
268,3122,3005,<
269,3122,3011,<
270,3122,3128,<
271,3123,3027,<
272,3125,3044,<
273,3127,3128,<
274,3128,3005,>
275,3128,3032,>
276,3128,3033,>
277,3128,3034,>
278,3128,3035,>
279,3128,3036,>
280,3128,3039,>
281,3128,3041,>
282,3128,3047,>
283,3128,3048,>
284,3128,3052,>
285,3128,3053,>
286,3128,3067,>
287,3128,3068,>
288,3128,3069,>
289,3128,3071,>
290,3128,3078,>
291,3128,3080,>
292,3128,3083,>
293,3128,3088,>
294,3128,3091,>
295,3128,3094,>
296,3128,3101,>
297,3128,3114,>
298,3128,3120,>
299,3128,3122,>
300,3128,3127,>
301,3128,3130,>
302,3128,3141,>
303,3128,3143,>
304,3130,3128,<
305,3131,3139,>
306,3139,3131,<
307,3141,3005,<
308,3141,3011,<
309,3141,3128,<
310,3143,3005,<
311,3143,3011,<
312,3143,3128,<
313,4001,4021,>
314,4001,4022,>
315,4001,4026,>
316,4011,4012,>
317,4011,4013,>
318,4012,4011,<
319,4013,4035,>
320,4013,4011,<
321,4021,4001,<
322,4022,4001,<
323,4026,4001,<
324,4035,4013,<
325,4037,4011,<
326,4038,4011,<
